Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Esprit Sushi Fribourg],Price [Esprit Sushi Fribourg],In stock [Esprit Sushi Fribourg],Low stock [Esprit Sushi Fribourg],"Modifier - ""Menu Tokyo""","Modifier - ""Menu Empereur""","Modifier - ""Menu Kobe""","Modifier - ""Menu Maki""","Modifier - ""Menu Kyoto""","Modifier - ""Menu Nigiri""","Modifier - ""Menu végétarien I""","Modifier - ""Menu Best of""","Modifier - ""Menu Végétarien II""","Modifier - ""Menu Duo""","Modifier - ""Gyozas""","Modifier - ""Mangajo""","Modifier - ""Coca""","Modifier - ""Henniez""","Modifier - ""Sushiwich""","Modifier - ""Lunchox maki""","Modifier - ""Lunchox gyoza""","Modifier - ""Ciboulette""","Modifier - ""Saint Valentin""","Modifier - ""Menthe""","Modifier - ""Confiture de figue""","Modifier - ""Ravioli""","Modifier - ""Accompagnement ravioli""","Modifier - ""Choix Menu vegetarien II""","Modifier - ""Maki pour menus""","Modifier - ""California""","Modifier - ""Nigiri pour menu""","Modifier - ""Sashimi""","Modifier - ""Option menu tokyo""","Modifier - ""Boissons""","Modifier - ""Boisson 2""","Modifier - ""Formule""","Modifier - ""Dessert""","Modifier - ""Ramune""","Modifier - ""Springroll Pour Menu""","Tax - ""Alcool"" (7.7%)","Tax - ""Alimentaire"" (2.5%)"
a-la-piece,10157,A la piece,Accompagnement,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
abonnement,10202,Abonnement,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
amende-pour-paiement-trop-tôt,10219,Amende pour paiement trop tôt,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
avocat,10207,Avocat,Ingrédients,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
baguettes,10156,Baguettes,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
biere,10004,Biere,Boissons,,N,,,,,,,0.00,,,,Y,Y,5.00,-72.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
bon-cadeau,10160,Bon cadeau,livraison,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
box-de-noël-,10173,Box de Noël,Menus,,N,,,,,,,0.00,,,,N,Y,89.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
box-saint-valentin,10175,Box Saint valentin,Menus,,N,,,,,,,0.00,,,,N,Y,59.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
brochette-de-poulet,10146,Brochette de poulet,Accompagnement,,N,,,,,,,0.00,,,,N,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
