Date,Magasin,PDV,Numéro d'équipe,Type,Employé,Commentaire,Montant
14/10/2022 16:26,Esprit Sushi Fribourg,SamsungA40,617,Payout,Propriétaire,"Postfinance ",265.00
30/09/2022 17:43,Esprit Sushi Fribourg,SamsungA40,611,Payout,Propriétaire,"Postfinance ",50.00
23/09/2022 17:15,Esprit Sushi Fribourg,SamsungA40,608,Payout,Propriétaire,"Postfinance ",150.00
16/09/2022 17:26,Esprit Sushi Fribourg,SamsungA40,605,Payout,Propriétaire,"Postfinance ",100.00
10/09/2022 22:08,Esprit Sushi Fribourg,SamsungA40,603,Entrée,Propriétaire,"Oubli billet de 100 portemonnaie ",100.00
09/09/2022 16:47,Esprit Sushi Fribourg,SamsungA40,602,Payout,Propriétaire,,170.00
06/07/2022 21:18,Esprit Sushi Fribourg,SamsungA40,593,Payout,Propriétaire,"Aspirateur ",3.00
04/07/2022 21:19,Esprit Sushi Fribourg,SamsungA40,591,Payout,Propriétaire,"Post finance ",20.00
04/07/2022 18:34,Esprit Sushi Fribourg,SamsungA40,591,Payout,Propriétaire,"Poste finance ",100.00
03/07/2022 19:17,Esprit Sushi Fribourg,SamsungA40,590,Payout,Propriétaire,"Essence ",30.00
28/06/2022 16:26,Esprit Sushi Fribourg,SamsungA40,583,Payout,Propriétaire,Courses aligro,200.00
21/06/2022 19:35,Esprit Sushi Fribourg,SamsungA40,577,Payout,Propriétaire,"Vers postfinance ",70.00
17/06/2022 18:27,Esprit Sushi Fribourg,SamsungA40,574,Payout,Propriétaire,"Vers postfinance ",270.00
16/06/2022 21:32,Esprit Sushi Fribourg,SamsungA40,573,Payout,Propriétaire,"Pourboire carte ",4.10
14/06/2022 18:22,Esprit Sushi Fribourg,SamsungA40,572,Payout,Propriétaire,"Vers caisse ",250.00
09/06/2022 18:19,Esprit Sushi Fribourg,SamsungA40,570,Payout,Propriétaire,"Vers caisse ",250.00
27/05/2022 16:48,Esprit Sushi Fribourg,SamsungA40,557,Payout,Propriétaire,"Postfinance ",360.00
20/05/2022 11:58,Esprit Sushi Fribourg,Caisse principal 3,782,Payout,Propriétaire,Pos,1200.00
18/05/2022 18:15,Esprit Sushi Fribourg,Caisse principal 3,782,Entrée,Propriétaire,,300.00
18/05/2022 18:14,Esprit Sushi Fribourg,SamsungA40,549,Payout,Propriétaire,,300.00
12/05/2022 21:00,Esprit Sushi Fribourg,SamsungA40,543,Payout,Propriétaire,"Pourboire carte ",1.00
06/05/2022 20:15,Esprit Sushi Fribourg,SamsungA40,537,Payout,Propriétaire,"Vers caisse ",2.00
04/05/2022 20:31,Esprit Sushi Fribourg,SamsungA40,535,Payout,Propriétaire,"Vers postfinance ",350.00
26/04/2022 17:46,Esprit Sushi Fribourg,SamsungA40,528,Payout,Propriétaire,"Vers postfinance ",500.00
