Magasin,PDV,Numéro d'équipe,Heure d'ouverture de quart de travail,Ouverture du service,Heure de fermeture de quart de travail,Le service est fermé,Espèces de départ,Règlement en espèces,Remboursements en espèces,Montant paiement entrant,Montant paiement sortant,Montant en espèces prévu,Montant en espèces réel,Différence
Esprit Sushi Fribourg,SamsungA40,621,23/10/2022 17:52,Propriétaire,23/10/2022 21:02,Propriétaire,516.30,0.00,0.00,0.00,0.00,516.30,516.30,0.00
Esprit Sushi Fribourg,SamsungA40,620,22/10/2022 18:03,Propriétaire,22/10/2022 21:35,Propriétaire,516.30,0.00,0.00,0.00,0.00,516.30,516.30,0.00
Esprit Sushi Fribourg,SamsungA40,619,21/10/2022 18:04,Propriétaire,21/10/2022 21:42,Propriétaire,432.80,83.50,0.00,0.00,0.00,516.30,516.30,0.00
Esprit Sushi Fribourg,SamsungA40,618,15/10/2022 18:05,Propriétaire,15/10/2022 21:34,Propriétaire,400.30,32.50,0.00,0.00,0.00,432.80,432.80,0.00
Esprit Sushi Fribourg,SamsungA40,617,14/10/2022 16:26,Propriétaire,14/10/2022 21:40,Propriétaire,547.80,117.50,0.00,0.00,265.00,400.30,400.30,0.00
Esprit Sushi Fribourg,SamsungA40,616,08/10/2022 18:38,Propriétaire,08/10/2022 21:09,Propriétaire,443.90,103.90,0.00,0.00,0.00,547.80,547.80,0.00
Esprit Sushi Fribourg,SamsungA40,615,07/10/2022 18:02,Propriétaire,07/10/2022 21:30,Propriétaire,407.40,36.50,0.00,0.00,0.00,443.90,443.90,0.00
Esprit Sushi Fribourg,SamsungA40,614,02/10/2022 17:57,Propriétaire,02/10/2022 21:56,Propriétaire,317.90,89.50,0.00,0.00,0.00,407.40,407.40,0.00
Esprit Sushi Fribourg,SamsungA40,613,01/10/2022 22:13,Propriétaire,01/10/2022 22:14,Propriétaire,296.90,21.00,0.00,0.00,0.00,317.90,317.90,0.00
Esprit Sushi Fribourg,SamsungA40,612,01/10/2022 18:04,Propriétaire,01/10/2022 21:13,Propriétaire,296.90,0.00,0.00,0.00,0.00,296.90,296.90,0.00
Esprit Sushi Fribourg,SamsungA40,611,30/09/2022 17:43,Propriétaire,30/09/2022 21:15,Propriétaire,346.90,0.00,0.00,0.00,50.00,296.90,296.90,0.00
Esprit Sushi Fribourg,SamsungA40,610,25/09/2022 18:42,Propriétaire,25/09/2022 21:23,Propriétaire,301.40,45.50,0.00,0.00,0.00,346.90,346.90,0.00
Esprit Sushi Fribourg,SamsungA40,609,24/09/2022 17:59,Propriétaire,24/09/2022 21:45,Propriétaire,301.40,0.00,0.00,0.00,0.00,301.40,301.40,0.00
Esprit Sushi Fribourg,SamsungA40,608,23/09/2022 17:15,Propriétaire,23/09/2022 21:28,Propriétaire,451.40,0.00,0.00,0.00,150.00,301.40,301.40,0.00
Esprit Sushi Fribourg,SamsungA40,607,18/09/2022 20:02,Propriétaire,18/09/2022 21:29,Propriétaire,451.40,0.00,0.00,0.00,0.00,451.40,451.40,0.00
Esprit Sushi Fribourg,SamsungA40,606,17/09/2022 18:00,Propriétaire,17/09/2022 21:31,Propriétaire,415.90,35.50,0.00,0.00,0.00,451.40,451.40,0.00
Esprit Sushi Fribourg,SamsungA40,605,16/09/2022 17:26,Propriétaire,16/09/2022 21:30,Propriétaire,384.70,131.20,0.00,0.00,100.00,415.90,415.90,0.00
Esprit Sushi Fribourg,SamsungA40,604,11/09/2022 18:56,Propriétaire,11/09/2022 21:25,Propriétaire,384.70,0.00,0.00,0.00,0.00,384.70,384.70,0.00
Esprit Sushi Fribourg,SamsungA40,603,10/09/2022 18:01,Propriétaire,10/09/2022 22:09,Propriétaire,182.70,102.00,0.00,100.00,0.00,384.70,384.70,0.00
Esprit Sushi Fribourg,SamsungA40,602,09/09/2022 16:47,Propriétaire,09/09/2022 21:29,Propriétaire,452.70,0.00,0.00,0.00,170.00,282.70,282.70,0.00
Esprit Sushi Fribourg,SamsungA40,601,04/09/2022 19:00,Propriétaire,04/09/2022 21:30,Propriétaire,406.70,46.00,0.00,0.00,0.00,452.70,452.70,0.00
Esprit Sushi Fribourg,SamsungA40,600,02/09/2022 18:13,Propriétaire,02/09/2022 22:00,Propriétaire,372.70,34.00,0.00,0.00,0.00,406.70,406.70,0.00
Esprit Sushi Fribourg,SamsungA40,599,28/08/2022 18:01,Propriétaire,28/08/2022 21:31,Propriétaire,552.70,20.00,0.00,0.00,0.00,572.70,572.70,0.00
Esprit Sushi Fribourg,SamsungA40,598,27/08/2022 18:42,Propriétaire,27/08/2022 21:32,Propriétaire,363.30,189.40,0.00,0.00,0.00,552.70,552.70,0.00
Esprit Sushi Fribourg,SamsungA40,597,26/08/2022 18:07,Propriétaire,26/08/2022 21:35,Propriétaire,363.30,0.00,0.00,0.00,0.00,363.30,363.30,0.00
Esprit Sushi Fribourg,SamsungA40,596,21/08/2022 17:54,Propriétaire,21/08/2022 21:32,Propriétaire,363.30,0.00,0.00,0.00,0.00,363.30,363.30,0.00
Esprit Sushi Fribourg,SamsungA40,595,20/08/2022 17:57,Propriétaire,20/08/2022 22:18,Propriétaire,313.00,50.30,0.00,0.00,0.00,363.30,363.30,0.00
Esprit Sushi Fribourg,SamsungA40,594,19/08/2022 18:00,Propriétaire,19/08/2022 21:30,Propriétaire,279.00,34.00,0.00,0.00,0.00,313.00,313.00,0.00
Esprit Sushi Fribourg,SamsungA40,593,06/07/2022 18:36,Propriétaire,06/07/2022 21:27,Propriétaire,288.50,0.00,0.00,0.00,3.00,285.50,285.50,0.00
Esprit Sushi Fribourg,SamsungA40,592,05/07/2022 18:40,Propriétaire,05/07/2022 21:29,Propriétaire,288.50,0.00,0.00,0.00,0.00,288.50,288.50,0.00
Esprit Sushi Fribourg,SamsungA40,591,04/07/2022 18:34,Propriétaire,04/07/2022 21:28,Propriétaire,408.50,0.00,0.00,0.00,120.00,288.50,288.50,0.00
Esprit Sushi Fribourg,SamsungA40,590,03/07/2022 18:13,Propriétaire,03/07/2022 21:32,Propriétaire,393.50,45.00,0.00,0.00,30.00,408.50,408.50,0.00
Esprit Sushi Fribourg,SamsungA40,589,02/07/2022 20:57,Propriétaire,02/07/2022 20:59,Propriétaire,393.50,0.00,0.00,0.00,0.00,393.50,393.50,0.00
Esprit Sushi Fribourg,SamsungA40,588,01/07/2022 17:58,Propriétaire,01/07/2022 21:28,Propriétaire,282.60,110.90,0.00,0.00,0.00,393.50,393.50,0.00
Esprit Sushi Fribourg,SamsungA40,587,30/06/2022 18:46,Propriétaire,30/06/2022 21:25,Propriétaire,282.60,0.00,0.00,0.00,0.00,282.60,282.60,0.00
Esprit Sushi Fribourg,SamsungA40,586,29/06/2022 21:33,Propriétaire,30/06/2022 18:45,Propriétaire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Esprit Sushi Fribourg,SamsungA40,585,29/06/2022 18:41,Propriétaire,29/06/2022 21:33,Propriétaire,282.60,0.00,0.00,0.00,0.00,282.60,282.60,0.00
Esprit Sushi Fribourg,SamsungA40,584,28/06/2022 17:50,Propriétaire,28/06/2022 21:00,Propriétaire,282.60,0.00,0.00,0.00,0.00,282.60,282.60,0.00
Esprit Sushi Fribourg,SamsungA40,583,28/06/2022 16:25,Propriétaire,28/06/2022 17:49,Propriétaire,482.60,0.00,0.00,0.00,200.00,282.60,282.60,0.00
Esprit Sushi Fribourg,SamsungA40,582,26/06/2022 18:30,Propriétaire,26/06/2022 21:34,Propriétaire,318.10,164.50,0.00,0.00,0.00,482.60,482.60,0.00
Esprit Sushi Fribourg,SamsungA40,581,25/06/2022 18:35,Propriétaire,25/06/2022 21:48,Propriétaire,318.10,0.00,0.00,0.00,0.00,318.10,318.10,0.00
Esprit Sushi Fribourg,SamsungA40,580,24/06/2022 18:36,Propriétaire,24/06/2022 21:46,Propriétaire,318.10,0.00,0.00,0.00,0.00,318.10,318.10,0.00
Esprit Sushi Fribourg,SamsungA40,579,23/06/2022 18:23,Propriétaire,23/06/2022 21:14,Propriétaire,267.60,0.00,0.00,0.00,0.00,267.60,267.60,0.00
Esprit Sushi Fribourg,SamsungA40,578,22/06/2022 17:34,Propriétaire,22/06/2022 21:07,Propriétaire,267.60,0.00,0.00,0.00,0.00,267.60,267.60,0.00
